## Downloaded 2022-01-11 from https://en.wikipedia.org/wiki/Glossary_of_chemical_formulae and https://en.wikipedia.org/wiki/List_of_CAS_numbers_by_chemical_compound
ascii                              | name                                         | CAS
KNbO3                              | potassium niobate                            | 12030-85-2
KNbO3                              | potassium niobate                            | 12030-85-2
KO2                                | potassium superoxide                         | 12030-88-5
KOF                                | potassium hypofluorite                       | 
KOH                                | potassium hydroxide                          | 1310-58-3
KOH                                | potassium hydroxide/custic potash            | 1310-58-3
KPF6                               | potassium hexafluorophosphate                | 17084-13-8
KPO3                               | potassium metaphosphate                      | 7790-53-6
KReO4                              | potassium perrhenate                         | 10466-65-6
KRuO4                              | potassium perruthenate                       | 10378-50-4
KSCN                               | potassium thiocyanate                        | 333-20-0
KVO3                               | potassium metavanadate                       | 13769-43-2
KrF2                               | krypton difluoride                           | 13773-81-4
La(CHO2)3                          | lanthanum formate                            | 2081-11-0
La(OH)3                            | lanthanum hydroxide                          | 
La2O3                              | lanthanum oxide                              | 1312-81-8
La2O3                              | lanthanum(III) oxide                         | 
La2S3                              | lanthanum sulfide                            | 12031-49-1
LaAlO3                             | lanthanum aluminate                          | 71496-78-1
LaB6                               | lanthanum boride                             | 12008-21-8
LaBr3                              | lanthanum bromide                            | 13536-79-3
LaBr3                              | lanthanum(III) bromide                       | 
LaC2                               | lanthanum carbide                            | 12071-15-7
LaCl3                              | lanthanum chloride                           | 10099-58-8
LaCl3                              | lanthanum(III) chloride                      | 10099-58-8
LaCl3.3H2O                         | lanthanum chloride trihydrate                | 35564-84-2
LaCl3.7H2O                         | lanthanum chloride heptahydrate              | 10025-84-0
LaF3                               | lanthanum fluoride                           | 13709-38-1
LaH3                               | lanthanum hydride                            | 13864-01-2
LaI3                               | lanthanum iodide                             | 13813-22-4
LaI3                               | lanthanum(III) iodide                        | 
LaN                                | lanthanum nitride                            | 25764-10-7
LaNbO4                             | lanthanum niobate                            | 12031-17-3
LaPO4                              | lanthanum(III) phosphate                     | 14913-14-5
LaPO4·0.5H2O                       | lanthanum(III) phosphate crystal hemihydrate | 
LaSi2                              | lanthanum silicide                           | 12056-90-5
LaVO4                              | lanthanum vanadate                           | 13939-40-7
Li(AlSi2O6)                        | keatite                                      | 
Li2B4O7                            | lithium borate                               | 12007-60-2
Li2B4O7·5H2O                       | lithium tetraborate pentahydrate             | 1303-94-2
Li2CO3                             | lithium carbonate                            | 554-13-2
Li2CO3                             | lithium carbonate                            | 554-13-2
Li2Cr2O7                           | lithium dichromate                           | 13843-81-7
Li2CrO4                            | lithium chromate                             | 14307-35-8
Li2CrO4·2H2O                       | lithium chromate dihydrate                   | 7789-01-7
Li2HAsO4                           | dilithium hydrogen arsenate                  | 
Li2HPO3                            | dilithium phosphite                          | 
Li2HPO4                            | dilithium phosphate                          | 
Li2MoO4                            | lithium molybdate                            | 13568-40-6
Li2MoO4                            | lithium molybdate                            | 
Li2MoO4                            | lithium orthomolybdate                       | 13568-40-6
Li2N2O2                            | lithium hyponitrite                          | 
Li2NbO3                            | lithium metaniobate                          | 12031-63-9
Li2O                               | lithium oxide                                | 12057-24-8
Li2O                               | lithium oxide                                | 12057-24-8
Li2O2                              | lithium peroxide                             | 12031-80-0
Li2O2                              | lithium peroxide                             | 12031-80-0
Li2S                               | lithium sulfide                              | 12136-58-2
Li2S                               | lithium sulfide                              | 12136-58-2
Li2SO3                             | lithium sulfite                              | 13453-87-7
Li2SO4                             | lithium sulfate                              | 10377-48-7
Li2SO4                             | lithium sulfate                              | 10377-48-7
Li2Se                              | lithium selenide                             | 12136-60-6
Li2SeO3                            | lithium selenite                             | 15593-51-8
Li2SeO4                            | lithium selenate                             | 15593-52-9
Li2SiO3                            | lithium metasilicate                         | 10102-24-6
Li2SiO3                            | lithium metasilicate                         | 10102-24-6
Li2SiO3                            | lithium orthosilicate                        | 63985-45-5
Li2Te                              | lithium telluride                            | 12136-59-3
Li2TeO3                            | lithium tellurite                            | 14929-69-2
Li2TeO4                            | lithium tellurate                            | 15851-53-3
Li2TiO3                            | lithium titanate                             | 12031-82-2
Li2TiO3                            | lithium metatitanate                         | 12031-82-2
Li2TiO3                            | lithium titanate                             | 
Li2WO4                             | lithium orthotungstate                       | 13568-45-1
Li2WO4                             | lithium tungstate                            | 
Li2ZrO3                            | lithium zirconate                            | 51222-70-9
Li2ZrO3                            | lithium metazirconate                        | 
Li3AlF6                            | lithium hexafluoroaluminate                  | 13821-20-0
Li3AsO4                            | lithium arsenate                             | 13478-14-3
Li3AsO4                            | trilithium arsenate                          | 
Li3C6H5O7                          | lithium citrate                              | 919-16-4
Li3ClO4                            | lithium perchlorate                          | 7791-03-9
Li3N                               | lithium nitride                              | 26134-62-3
Li3PO3                             | trilithium phosphite                         | 
Li3PO4                             | lithium phosphate                            | 10377-52-3
Li3PO4                             | trilithium phosphate                         | 
Li3Sb                              | lithium antimonide                           | 12057-30-6
LiAlH4                             | lithium tetrahydridoaluminate                | 16853-85-3
LiAlH4                             | lithium aluminium hydride                    | 
LiAlO2                             | lithium aluminate                            | 12003-67-7
LiBF4                              | lithium tetrafluoroborate                    | 14283-07-9
LiBH4                              | lithium borohydride                          | 16949-15-8
LiBH4                              | lithium borohydride                          | 
LiBO2                              | lithium metaborate                           | 13453-69-5
LiBr                               | lithium bromide                              | 7550-35-8
LiBr                               | lithium bromide                              | 7550-35-8
LiBrO                              | lithium hypobromite                          | 
LiBrO2                             | lithium bromite                              | 
LiBrO3                             | lithium bromate                              | 13550-28-2
LiBrO4                             | lithium perbromate                           | 
LiBr·2H2O                          | lithium bromide dihydrate                    | 
LiC2H5O                            | lithium ethoxide                             | 2388-07-0
LiC7H5O2                           | lithium benzoate                             | 553-54-8
LiCH3O                             | lithium methoxide                            | 865-34-9
LiCHO2                             | lithium formate                              | 556-63-8
LiCN                               | lithium cyanide                              | 2408-36-8
LiCNO                              | lithium cyanate                              | 
LiCl                               | lithium chloride                             | 7447-41-8
LiCl                               | lithium chloride                             | 7447-41-8
LiClO                              | lithium hypochlorite                         | 13840-33-0
LiClO2                             | lithium chlorite                             | 
LiClO3                             | lithium chlorate                             | 13453-71-9
LiClO4                             | lithium perchlorate                          | 7791-03-9
LiClO4                             | lithium perchlorate                          | 7791-03-9
LiCl.H2O                           | lithium chloride monohydrate                 | 16712-20-2
LiF                                | lithium fluoride                             | 7789-24-4
LiF                                | lithium fluoride                             | 7789-24-4
LiH                                | lithium hydride                              | 7580-67-8
LiH                                | lithium hydride                              | 
LiH2AsO4                           | lithium dihydrogen arsenate                  | 
LiH2PO3                            | monolithium phosphite                        | 
LiH2PO4                            | monolithium phosphate                        | 
LiHCO3                             | lithium bicarbonate                          | 5006-97-3
LiHS                               | lithium hydrosulfide                         | 
LiHSO3                             | lithium bisulfite                            | 
LiHSO4                             | lithium hydrogen sulfate                     | 13453-86-6
LiI                                | lithium iodide                               | 10377-51-2
LiI                                | lithium iodide                               | 10377-51-2
LiIO                               | lithium hypoiodite                           | 
LiIO2                              | lithium iodite                               | 
LiIO3                              | lithium iodate                               | 13765-03-2
LiIO4                              | lithium periodate                            | 
LiI.3H2O                           | lithium iodide trihydrate                    | 7790-22-9
LiN(C3H7)2                         | lithium diisopropylamide                     | 4111-54-0
LiN3                               | lithium azide                                | 19597-69-4
LiNH2                              | lithium amide                                | 7782-89-0
LiNO2                              | lithium nitrite                              | 13568-33-7
LiNO3                              | lithium nitrate                              | 7790-69-4
LiNO3                              | lithium nitrate                              | 7790-69-4
LiNO3·H2O                          | lithium nitrate monohydrate                  | 
LiNa                               | lithium sodium                               | 
LiNaNO2                            | lithium sodium nitroxylate                   | 
LiNbO3                             | lithium niobate                              | 12031-63-9
LiNbO3                             | lithium niobate                              | 
LiO2                               | lithium superoxide                           | 12136-56-0
LiOH                               | lithium hydroxide                            | 1310-65-2
LiOH                               | lithium hydroxide                            | 1310-65-2
LiPF6                              | lithium hexafluorophosphate                  | 21324-40-3
LiPH2O4                            | lithium dihydrogenphosphate                  | 13453-80-0
LiReO4                             | lithium perrhenate                           | 13768-48-4
LiTaO3                             | lithium tantalate                            | 12031-66-2
LiTaO3                             | lithium tantalate                            | 12031-66-2
LiTaO3                             | lithium metatantalate                        | 12031-66-2
LiVO3                              | lithium metavanadate                         | 15060-59-0
LiVO3·2H2O                         | lithium metavanadate dihydrate               | 
Lu(NO3)3                           | lutetium nitrate                             | 36549-50-5
Lu2O3                              | lutetium oxide                               | 12032-20-1
Lu2S3                              | lutetium sulfide                             | 12163-20-1
Lu2Te3                             | lutetium telluride                           | 12163-22-3
LuB4                               | lutetium boride                              | 12688-52-7
LuBr3                              | lutetium bromide                             | 14456-53-2
LuCl3                              | lutetium chloride                            | 10099-66-8
LuF3                               | lutetium fluoride                            | 13760-81-1
LuI3                               | lutetium iodide                              | 13813-45-1
LuN                                | lutetium nitride                             | 12125-25-6
Mg(AlO2)2                          | magnesium aluminate                          | 12068-51-8
Mg(BrO)2                           | magnesium hypobromite                        | 
Mg(BrO2)2                          | magnesium bromite                            | 
Mg(BrO3)2                          | magnesium bromate                            | 
Mg(BrO4)2                          | magnesium perbromate                         | 
Mg(C2H2O2)2                        | magnesium succinate                          | 556-32-1
Mg(ClO)2                           | magnesium hypochlorite                       | 10233-03-1
Mg(ClO2)2                          | magnesium chlorite                           | 
Mg(ClO3)2                          | magnesium chlorate                           | 10326-21-3
Mg(ClO3)2·xH2O                     | magnesium chlorate hydrate                   | 
Mg(ClO4)2                          | magnesium perchlorate                        | 10034-81-8
Mg(ClO4)2                          | magnesium perchlorate                        | 10034-81-8
Mg(IO)2                            | magnesium hypoiodite                         | 
Mg(IO2)2                           | magnesium iodite                             | 
Mg(IO3)2                           | magnesium iodate                             | 
Mg(IO4)2                           | magnesium periodate                          | 
Mg(NO2)2                           | magnesium nitrite                            | 
Mg(NO3)2                           | magnesium nitrate                            | 10377-60-3
Mg(NO3)2                           | magnesium nitrate                            | 10377-60-3
Mg(NO3)2·6H2O                      | magnesium nitrate hexahydrate                | 13446-18-9
Mg(OH)2                            | magnesium hydroxide                          | 1309-42-8
Mg(OH)2                            | magnesium hydroxide                          | 1309-42-8
Mg(OH)2                            | milk of magnesia                             | 1309-42-8
Mg(TcO4)2                          | magnesium technetate                         | 71683-38-0
Mg(VO3)2                           | magnesium metavanadate                       | 
Mg2Al(AlSiO5)(OH)4                 | amesite                                      | 
Mg2P2O7                            | magnesium pyrophosphate                      | 13446-24-7
Mg2Si                              | magnesium silicide                           | 22831-39-6
Mg2SiO4                            | forsterite                                   | 10034-94-3
Mg3(AsO4)2                         | magnesium arsenate                           | 10103-50-1
Mg3(Si2O5)(OH)4                    | chrysotile                                   | 12001-29-5
Mg3(Si4O10)(OH)2                   | talc                                         | 14807-96-6
Mg3(VO4)2                          | magnesium orthovanadate                      | 
Mg3As2                             | magnesium arsenide                           | 12044-49-4
Mg3Bi2                             | magnesium bismuthide                         | 12048-46-3
Mg3N2                              | magnesium nitride                            | 12057-71-5
Mg3P2                              | magnesium phosphide                          | 12057-74-8
Mg3Sb2                             | magnesium antimonide                         | 12057-75-9
MgBr2                              | magnesium bromide                            | 7789-48-2
MgBr2                              | magnesium bromide                            | 7789-48-2
MgBr2.6H2O                         | magnesium bromide hexahydrate                | 13446-53-2
MgC2O4                             | magnesium oxalate                            | 547-66-0
MgC36H70O4                         | magnesium stearate                           | 557-04-0
MgC3H9O6P                          | magnesium glycerophosphate                   | 927-20-8
MgCO3                              | magnesium carbonate                          | 546-93-0
MgCO3                              | magnesium carbonate                          | 546-93-0
MgCO3                              | magnesite                                    | 546-93-0
MgCl2                              | magnesium chloride                           | 7786-30-3
MgCl2                              | magnesium chloride                           | 7786-30-3
MgCrO4                             | magnesium chromate                           | 13423-61-5
MgCrO4·5H2O                        | magnesium chromate pentahydrate              | 
MgF2                               | magnesium fluoride                           | 7783-40-6
MgF2                               | magnesium fluoride                           | 7783-40-6
MgH2                               | magnesium hydride                            | 7693-27-8
MgHPO4                             | dimagnesium phosphate                        | 
MgI2                               | magnesium iodide                             | 10377-58-9
MgI2                               | magnesium iodide                             | 10377-58-9
MgMoO4                             | magnesium molybdate                          | 13767-03-8
MgNH4PO4·6H2O                      | magnesium ammonium phosphate hexahydrate     | 15490-91-2
MgNaAl5(Si4O10)3(OH)6              | montmorillonite (clay)                       | 1318-93-0
MgO                                | magnesium oxide                              | 1309-48-4
MgO                                | magnesium oxide                              | 1309-48-4
MgO                                | magnesia                                     | 1309-48-4
MgO                                | periclase                                    | 1309-48-4
MgO2                               | magnesium peroxide                           | 1335-26-8
MgPo                               | magnesium polonide                           | 
MgS                                | magnesium sulfide                            | 12032-36-9
MgS                                | magnesium sulfide                            | 12032-36-9
MgSO3                              | magnesium sulfite                            | 7757-88-2
MgSO4                              | magnesium sulfate                            | 7487-88-9
MgSO4                              | magnesium sulfate                            | 7487-88-9
MgSe                               | magnesium selenide                           | 1313-04-8
MgSe                               | magnesium selenide                           | 1313-04-8
MgSeO3                             | magnesium selenite                           | 15593-61-0
MgSeO4                             | magnesium selenate                           | 14986-91-5
MgSiO3                             | magnesium silicite                           | 14654-06-9
MgSiO3                             | magnesium metasilicate                       | 13776-74-4
MgSiO3                             | enstatite                                    | 13776-74-4
MgTe                               | magnesium telluride                          | 12032-44-9
MgTiO3                             | magnesium titanate                           | 12032-30-3
MgTiO3                             | magnesium metatitanate                       | 12032-30-3
MgWO4                              | magnesium tungstate                          | 13573-11-0
Mn(C2H3O2)2                        | manganese(II) acetate                        | 638-38-0
Mn(CHO2)2                          | manganese(II) formate                        | 3251-96-5
Mn(CHO2)2·2H2O                     | manganese(II) formate dihydrate              | 4247-36-3
Mn(NO3)2                           | manganese(II) nitrate                        | 10377-66-9
Mn(NO3)2                           | manganese(II) nitrate                        | 10377-66-9
Mn(NO3)2·4H2O                      | manganese(II) nitrate tetrahydrate           | 20694-39-7
Mn(OH)2                            | manganese hydroxide                          | 1310-97-0
Mn2O3                              | manganese(III) oxide                         | 1317-34-6
Mn2O3                              | manganese(III) oxide                         | 1317-34-6
Mn2O7                              | manganese(VII) oxide                         | 12057-92-0
Mn3(PO4)2                          | manganese(II) phosphate                      | 14154-09-7
Mn3As2                             | manganese(II) arsenide                       | 
Mn3O4                              | manganese(II,III) oxide                      | 1317-35-7
Mn3O4                              | manganese(II,III) oxide                      | 1317-35-7
Mn3O4                              | trimanganese tetroxide                       | 1317-35-7
Mn3O4                              | hausmannite                                  | 1317-35-7
Mn3P2                              | manganese(II) phosphide                      | 
Mn3Sb2                             | manganese(II) antimonide                     | 
MnAs                               | manganese(III) arsenide                      | 
MnBi                               | manganese(III) bismuthide                    | 
MnBr2                              | manganese(II) bromide                        | 13446-03-2
MnBr2                              | manganese(II) bromide                        | 13446-03-2
MnBr2·4H2O                         | manganese(II) bromide tetrahydrate           | 10031-20-6
MnCO3                              | manganese(II) carbonate                      | 598-62-9
MnCO3                              | manganese(II) carbonate                      | 598-62-9
MnCl2                              | manganese(II) chloride                       | 7773-01-5
MnCl2                              | manganese(II) chloride                       | 7773-01-5
MnCl2.4H2O                         | manganese(II) chloride tetrahydrate          | 13446-34-9
MnCl3                              | manganese(III) chloride                      | 14690-66-5
MnF2                               | manganese(II) fluoride                       | 7782-64-1
MnF2                               | manganese(II) fluoride                       | 7782-64-1
MnF3                               | manganese(III) fluoride                      | 7783-53-1
MnF4                               | manganese(IV) fluoride                       | 15195-58-1
MnI2                               | manganese(II) iodide                         | 7790-33-2
MnI2                               | manganese(II) iodide                         | 7790-33-2
MnI2.4H2O                          | manganese(II) iodide tetrahydrate            | 98716-23-5
MnMoO4                             | manganese(II) orthomolybdate                 | 
MnO                                | manganese(II) oxide                          | 1344-43-0
MnO                                | manganese(II) oxide                          | 1344-43-0
MnO2                               | manganese(IV) oxide                          | 1313-13-9
MnO2                               | manganese dioxide                            | 1313-13-9
MnO2                               | pyrolusite                                   | 1313-13-9
MnO4−                              | permanganate ion                             | 14333-13-2
MnOOH                              | manganite                                    | 1310-98-1
MnPb8(Si2O7)3                      | barysilate                                   | 
MnS                                | manganese(II) sulfide                        | 18820-29-6
MnS                                | manganese sulfide                            | 18820-29-6
MnSO4                              | manganese(II) sulfate                        | 10034-96-5
MnSb                               | manganese(III) antimonide                    | 12032-82-5
MnSe                               | manganese(II) selenide                       | 1313-22-0
MnSe2                              | manganese(IV) selenide                       | 12299-98-8
MnTe                               | manganese(II) telluride                      | 12032-88-1
MnTe                               | manganese(II) telluride                      | 12032-88-1
MnTe2                              | manganese(IV) telluride                      | 12032-89-2
MnZrO3                             | manganese(II) metazirconate                  | 
Mo2O3                              | molybdenum(III) oxide                        | 1313-29-7
Mo2O5                              | molybdenum(V) oxide                          | 12163-73-4
Mo2S3                              | molybdenum(III) sulfide                      | 12033-33-9
MoBr2                              | molybdenum(II) bromide                       | 13446-56-5
MoBr2                              | molybdenum(II) bromide                       | 13446-56-5
MoBr3                              | molybdenum(III) bromide                      | 13446-57-6
MoBr3                              | molybdenum(III) bromide                      | 13446-57-6
MoBr4                              | molybdenum(IV) bromide                       | 13520-59-7
MoC6O6                             | molybdenum(III) hexacarbonyl                 | 13939-06-5
MoCl2                              | molybdenum(II) chloride                      | 13478-17-6
MoCl2                              | molybdenum(II) chloride                      | 13478-17-6
MoCl3                              | molybdenum(III) chloride                     | 13478-18-7
MoCl3                              | molybdenum(III) chloride                     | 13478-18-7
MoCl4                              | molybdenum(IV) chloride                      | 13478-18-7
MoCl5                              | molybdenum(V) chloride                       | 10241-05-1
MoCl5                              | molybdenum(V) chloride                       | 10241-05-1
MoCl6                              | molybdenum(VI) chloride                      | 13706-19-9
MoF3                               | molybdenum(III) fluoride                     | 20193-58-2
MoF4                               | molybdenum(IV) fluoride                      | 23412-45-5
MoF5                               | molybdenum(V) fluoride                       | 13819-84-6
MoF6                               | molybdenum(VI) fluoride                      | 7783-77-9
MoI2                               | molybdenum(II) iodide                        | 14055-74-4
MoI3                               | molybdenum(III) iodide                       | 14055-75-5
MoI4                               | molybdenum(IV) iodide                        | 14055-76-6
MoN                                | molybdenum(III) nitride                      | 12033-19-1
MoO                                | molybdenum(II) oxide                         | 12058-07-0
MoO2                               | molybdenum(IV) oxide                         | 18868-43-4
MoO2                               | molybdenum(IV) oxide                         | 18868-43-4
MoO3                               | molybdenum(VI) oxide                         | 1313-27-5
MoO3                               | Molybdenum trioxide                          | 1313-27-5
MoO42−                             | molybdate ion                                | 14259-85-9
MoS2                               | molybdenum(IV) sulfide                       | 1317-33-5
MoS2                               | molybdenum sulfide                           | 1317-33-5
MoS2                               | molybdenum disulfide                         | 1317-33-5
MoS2                               | molybdenite                                  | 1317-33-5
MoSe2                              | molybdenum(IV) selenide                      | 12058-18-3
MoSe2                              | molybdenum(IV) selenide                      | 12058-18-3
MoSi2                              | molybdenum(IV) silicide                      | 12136-78-6
MoTe2                              | molybdenum(IV) telluride                     | 12058-20-7
N2                                 | nitrogen                                     | 7727-37-9
N2F2                               | dinitrogen difluoride                        | 13812-43-6
N2F4                               | dinitrogen tetrafluoride                     | 10036-47-2
N2H2                               | diazene                                      | 3618-05-1
N2H4                               | hydrazine                                    | 302-01-2
N2O                                | dinitrogen monoxide                          | 10024-97-2
N2O                                | nitrous oxide                                | 10024-97-2
N2O                                | dinitrogen oxide                             | 10024-97-2
N2O                                | nitrogen(I) oxide                            | 10024-97-2
N2O3                               | dinitrogen trioxide                          | 10544-73-7
N2O3                               | dinitrogen trioxide                          | 10544-73-7
N2O3                               | nitrogen(III) oxide                          | 10544-73-7
N2O4                               | dinitrogen tetroxide                         | 10544-72-6
N2O4                               | dinitrogen tetroxide                         | 10544-72-6
N2O4                               | nitrogen(IV) oxide                           | 10544-72-6
N2O5                               | dinitrogen pentoxide                         | 10102-03-1
N2O5                               | dinitrogen pentaoxide                        | 10102-03-1
N2O5                               | nitrogen(V) oxide                            | 10102-03-1
N4H4                               | trans-tetrazene                              | 54410-57-0
NBr3                               | nitrogen tribromide                          | 15162-90-0
NCl3                               | nitrogen trichloride                         | 10025-85-1
NCl3                               | nitrogen trichloride                         | 
NF3                                | nitrogen trifluoride                         | 7783-54-2
NH2C6H4SO3H                        | sulfanilic Acid                              | 121-57-3
NH2CH2CH2NH2                       | ethylenediamine                              | 107-15-3
NH2CH2CN                           | aminoacetonitrile                            | 
NH2CONH2                           | urea                                         | 57-13-6
NH2COOH                            | carbamic acid                                | 
NH2Cl                              | monochloramine                               | 
NH2OH                              | hydroxylamine                                | 7803-49-8
NH2−                               | amide ion                                    | 17655-31-1
NH3                                | ammonia                                      | 7664-41-7
NH3                                | ammonia                                      | 7664-41-7
NH4+                               | ammonium ion                                 | 14798-03-9
NH4Br                              | ammonium bromide                             | 12124-97-9
NH4CO2NH2                          | ammonium carbamate                           | 1111-78-0
NH4Cl                              | ammonium chloride                            | 12125-02-9
NH4Cl                              | ammonium chloride                            | 12125-02-9
NH4ClO4                            | Ammonium perchlorate                         | 7790-98-9
NH4HCO3                            | ammonium bicarbonate                         | 1066-33-7
NH4HS                              | ammonium hydrosulfide                        | 12124-99-1
NH4NO3                             | ammonium nitrate                             | 6484-52-2
NH4NO3                             | ammonium nitrate                             | 6484-52-2
NH4OCONH2                          | ammonium carbamate                           | 1111-78-0
NH4OH                              | ammonium hydroxide                           | 1336-21-6
NH4OH                              | ammonium hydroxide                           | 
NHCl2                              | dichloramine                                 | 
NI3                                | nitrogen triiodide                           | 13444-85-4
NI3                                | nitrogen triiodide                           | 13444-85-4
NO                                 | nitrogen monoxide                            | 10102-43-9
NO                                 | nitric oxide                                 | 10102-43-9
NO                                 | nitrogen oxide                               | 10102-43-9
NO                                 | nitrogen(II) oxide                           | 10102-43-9
NO2                                | nitrogen dioxide                             | 10102-44-0
NO2                                | nitrogen dioxide                             | 10102-44-0
NO2                                | nitrogen(IV) oxide                           | 10102-44-0
NO2Cl                              | nitryl chloride                              | 13444-90-1
NO2−                               | nitrite ion                                  | 14797-65-0
NO3−                               | nitrate ion                                  | 14797-55-8
NOBr                               | nitrosyl bromide                             | 
NOCl                               | nitrosyl chloride                            | 
NOI                                | nitrosyl iodide                              | 
Na2B4O7                            | sodium tetraborate                           | 1330-43-4
Na2C2O4                            | sodium oxalate                               | 62-76-0
Na2C3H2O4                          | sodium malonate                              | 141-95-7
Na2C4H6O6                          | sodium tartrate                              | 6106-24-7
Na2C6H6O7                          | disodium citrate                             | 144-33-2
Na2C6H8O4                          | sodium adipate                               | 7486-38-6
Na2CO3                             | sodium carbonate                             | 497-19-8
Na2CO3                             | sodium carbonate                             | 497-19-8
Na2CO3                             | soda ash                                     | 497-19-8
Na2Cr2O7.2H2O                      | Sodium dichromate dihydrate                  | 10588-01-9
Na2CrO4                            | sodium chromate                              | 7775-11-3
Na2FPO3                            | sodium fluorophosphate                       | 10163-15-2
Na2H2S2O6                          | sodium dithionate                            | 7631-94-9
Na2HAsO4                           | disodium hydrogen arsenate                   | 
Na2HPO3                            | disodium phosphite                           | 
Na2HPO4                            | disodium phosphate                           | 
Na2MoO4                            | sodium molybdate                             | 7631-95-0
Na2MoS4                            | sodium thiomolybdate                         | 18198-15-7
Na2N2O2                            | sodium hyponitrite                           | 
Na2O                               | sodium oxide                                 | 1313-59-3
Na2O                               | sodium oxide                                 | 1313-59-3
Na2O2                              | sodium peroxide                              | 1313-60-6
Na2O2                              | sodium peroxide                              | 1313-60-6
Na2S                               | sodium sulfide                               | 1313-82-2
Na2S                               | sodium monosulfide                           | 1313-82-2
Na2S2O3                            | sodium thiosulfate                           | 7772-98-7
Na2S2O3                            | sodium thiosulfate                           | 7772-98-7
Na2S2O4                            | sodium dithionite                            | 7775-14-6
Na2S2O5                            | sodium metabisulfite                         | 7681-57-4
Na2S2O5                            | sodium disulfite                             | 7681-57-4
Na2S2O7                            | sodium pyrosulfate                           | 13870-29-6
Na2S2O8                            | sodium persulfate                            | 7775-27-1
Na2S2O8                            | sodium persulfate                            | 7775-27-1
Na2S4                              | sodium tetrasulfide                          | 12034-39-8
Na2SO3                             | sodium sulfite                               | 7757-83-7
Na2SO3                             | sodium sulfite                               | 7757-83-7
Na2SO4                             | sodium sulfate                               | 7757-82-6
Na2SO4                             | sodium sulfate                               | 7757-82-6
Na2SO4                             | salt cake                                    | 7757-82-6
Na2Se                              | sodium selenide                              | 1313-85-5
Na2SeO3                            | sodium selenite                              | 10102-18-8
Na2SeO3                            | sodium selenite                              | 10102-18-8
Na2SeO4                            | sodium selenate                              | 13410-01-0
Na2SeO4                            | sodium selenate                              | 13410-01-0
Na2SiF6                            | sodium fluorosilicate                        | 16893-85-9
Na2SiO3                            | sodium silicate                              | 6834-92-0
Na2SnO3                            | sodium stannate                              | 12058-66-1
Na2S.5H2O                          | sodium sulfide pentahydrate                  | 1313-83-3
Na2S.9H2O                          | sodium sulfide nonahydrate                   | 1313-84-4
Na2Te                              | sodium telluride                             | 12034-41-2
Na2TeO3                            | sodium tellurite                             | 10102-20-2
Na2TeO4                            | sodium tellurate                             | 
Na2Ti3O7                           | sodium metatitanate                          | 12034-36-5
Na2TiO3                            | sodium metatitanate                          | 
Na2WO4                             | sodium tungstate                             | 13472-45-2
Na2Zn(OH)4                         | sodium zincate                               | 12179-14-5
Na2ZnO2                            | sodium zincate                               | 37224-32-1
Na2ZrO3                            | sodium metazirconate                         | 
Na3AlF6                            | sodium hexafluoroaluminate                   | 13775-53-6
Na3AlF6                            | cryolite                                     | 15096-52-3
Na3AsO4                            | sodium arsenate                              | 
Na3C6H5O7                          | trisodium citrate                            | 
Na3Co(NO2)6                        | sodium cobaltnitrite                         | 14649-73-1
Na3PO3                             | trisodium phosphite                          | 
Na3PO4                             | sodium phosphate                             | 7601-54-9
Na3PO4                             | trisodium phosphate                          | 
Na3Sb                              | sodium antimonide                            | 12058-86-5
Na3SbS4                            | sodium thioantimonide                        | 13776-84-6
Na3VO4                             | sodium vanadate                              | 13721-39-6
Na3VO4                             | sodium orthovanadate                         | 13721-39-6
Na3[Co(CO3)3]                      | sodium tricarbonatocobaltate(III)            | 
Na4C4H4O6                          | sodium tartrate                              | 868-18-8
Na4FeC6N6                          | sodium ferrocyanide                          | 13601-19-9
Na4P2O7                            | sodium pyrophosphate                         | 7722-88-5
Na4SiO4                            | sodium orthosilicate                         | 1344-09-8
Na4V2O7                            | sodium pyrovanadate                          | 13517-26-5
Na5P3O10                           | sodium tripolyphosphate                      | 7758-29-4
NaAlCl4                            | sodium tetracholoraluminate                  | 7784-16-9
NaAlF4                             | sodium tetrafluoroaluminate                  | 13821-15-3
NaAlO2                             | sodium aluminate                             | 1302-42-7
NaAlSi3O3                          | albite                                       | 
